Article name,Topic cluster,Spec URL,Standards,Priority,Week,Complete?,Writer
text-blink,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P3,,,
text-combine,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P3,,,
text-combine-horizontal,text properties,http://dev.w3.org/csswg/css3-writing-modes/,ED,P3,,,
text-kashida-space,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P3,,,
text-orientation,text properties,http://dev.w3.org/csswg/css3-writing-modes/,ED,P3,,,
word-break-cjk,text properties,http://www.w3.org/TR/2003/CR-css3-text-20030514/,CR,P3,,,
dominant-baseline,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P3,,,
drop-initial-after-adjust,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P3,,,
drop-initial-after-align,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P3,,,
drop-initial-before-adjust,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P3,,,
drop-initial-before-align,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P3,,,
drop-initial-size,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P3,,,
drop-initial-value,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P3,,,
inline-box-align,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P3,,,
line-box-contain,text-line properties,http://dev.w3.org/csswg/css3-linebox/,ED,P3,,,
box-snap,,http://dev.w3.org/csswg/css-line-grid/,ED,P3,,,
icon,,http://dev.w3.org/csswg/css3-ui/,ED,P3,,,
ime-mode,,http://dev.w3.org/csswg/css3-ui/,ED,P3,,,
interpret-as,,,WD,P3,,,
isolation,,https://dvcs.w3.org/hg/FXTF/rawfile/tip/compositing/index.html,ED,P3,,,
layout-flow,,,WD,P3,,,
line-slack,,http://dev.w3.org/csswg/css-line-grid/,ED,P3,,,
line-snap,,http://dev.w3.org/csswg/css-line-grid/,ED,P3,,,
link,,,CSS2.1,P3,,,
marquee,,http://www.w3.org/TR/SVG2/painting.html,WD,P3,,,
marquee-direction,,http://www.w3.org/TR/2008/WD-css3-marquee-20080801/,WD,P3,,,
marquee-speed,,http://www.w3.org/TR/2008/WD-css3-marquee-20080801/,WD,P3,,,
marquee-style,,http://www.w3.org/TR/2008/WD-css3-marquee-20080801/,WD,P3,,,
